label,epoch,train_recon,train_l1,val_recon,val_l1,lr
B,1,0.11675207934797861,0.11189175640050848,0.07171435479283549,0.12321397458450703,0.0003902113032590308
B,2,0.05236985235963178,0.16307835185438693,0.03929739278247731,0.20080629695496552,0.0003618033988749894
B,3,0.030459357134978982,0.23509241906995726,0.02586049488181447,0.2609246617146038,0.0003175570504584945
B,4,0.02108740347359673,0.2891263662199784,0.0194673680954665,0.30546737123570433,0.00026180339887498926
B,5,0.01634076232951363,0.3282031537082012,0.015956409111834564,0.3364561451063449,0.00019999999999999977
B,6,0.013685808342736317,0.3540877849983449,0.013928378676527447,0.35638214504955906,0.0001381966011250103
B,7,0.012172324772657247,0.3704164451110863,0.01278630987106137,0.3683736277531974,8.244294954150526e-05
B,8,0.011345420530869774,0.3796228018155489,0.01221036311528674,0.374521046661339,3.819660112501048e-05
B,9,0.010959423752129197,0.38397338040454815,0.01198688489713354,0.3769582298845322,9.788696740969281e-06
B,10,0.010839277082795258,0.38526806831527544,0.011953855522825747,0.3773220164327466,0.0
