seed,arm,coherence_mean,entropy_mean,task_retention_mean
7,baseline,0.8147931607278248,2.5397359331448874,0.2576388888888889
7,target,0.8005375468698679,2.6811744272708893,0.28611111111111115
7,control,0.8145616647189216,2.592301239569982,0.20486111111111108
17,baseline,0.8252259753109604,2.5397359331448874,0.2576388888888889
17,target,0.857364858035148,2.6811744272708893,0.29930555555555555
17,control,0.8014504021355404,2.592301239569982,0.2333333333333333
27,baseline,0.8430659736939042,2.5397359331448874,0.2791666666666666
27,target,0.8387495710534926,2.6811744272708893,0.37986111111111115
27,control,0.8380953447081412,2.592301239569982,0.3354166666666667
37,baseline,0.7840659869395091,2.5397359331448874,0.24375
37,target,0.7907048751192663,2.6811744272708893,0.20902777777777778
37,control,0.7578761264209165,2.592301239569982,0.19027777777777777
47,baseline,0.8093196755432824,2.5397359331448874,0.2388888888888889
47,target,0.8379281598031598,2.6811744272708893,0.33749999999999997
47,control,0.8350619016651626,2.592301239569982,0.24166666666666667
57,baseline,0.8214171098911743,2.5397359331448874,0.33958333333333335
57,target,0.7875016746594804,2.6811744272708893,0.2333333333333333
57,control,0.8175639327975883,2.592301239569982,0.2506944444444445
67,baseline,0.8079094495539975,2.5397359331448874,0.24722222222222223
67,target,0.7968721134737478,2.6811744272708893,0.2354166666666667
67,control,0.8103358382152988,2.592301239569982,0.22430555555555556
