group,condition,alpha,mean_of_seed_means,ci95_lo,ci95_hi,seed_std,n_seeds
control,target,0.0,0.04742802120745182,-0.025859163189306856,0.1259124989355247,0.19718583077879087,28
control,target,0.5,0.0211537042632699,-0.012212745978363923,0.05919986191604819,0.09572485634794689,28
control,target,1.0,0.0,0.0,0.0,0.0,28
control,target,1.5,-0.04121871606912464,-0.06699428900236463,-0.015985544757651453,0.07050480305101973,28
control,target,2.0,-0.06653865426778793,-0.11565244916294302,-0.01847995811008985,0.1331522035198241,28
target,target,0.0,-0.39622941613197327,-0.39622941613197327,-0.39622941613197327,0.0,7
target,target,0.5,-0.1893947869539261,-0.1893947869539261,-0.1893947869539261,0.0,7
target,target,1.0,0.0,0.0,0.0,0.0,7
target,target,1.5,0.028769060969352722,0.028769060969352722,0.028769060969352722,0.0,7
target,target,2.0,0.1212548092007637,0.1212548092007637,0.1212548092007637,0.0,7
target,wrong_hook,0.0,0.0,0.0,0.0,0.0,7
target,wrong_hook,0.5,0.0,0.0,0.0,0.0,7
target,wrong_hook,1.0,0.0,0.0,0.0,0.0,7
target,wrong_hook,1.5,0.0,0.0,0.0,0.0,7
target,wrong_hook,2.0,0.0,0.0,0.0,0.0,7
target,wrong_layer,0.0,-0.07555285841226578,-0.07555285841226578,-0.07555285841226578,0.0,7
target,wrong_layer,0.5,-0.05087261274456978,-0.05087261274456978,-0.05087261274456978,0.0,7
target,wrong_layer,1.0,0.0,0.0,0.0,0.0,7
target,wrong_layer,1.5,-0.003967513795942068,-0.003967513795942068,-0.003967513795942068,0.0,7
target,wrong_layer,2.0,-0.011834606528282166,-0.011834606528282166,-0.011834606528282166,0.0,7
