category,seed,arm,coherence_proxy,entropy_proxy,task_retention
sports,7,baseline,0.8296312085105189,2.74675153195858,0.125
sports,7,target,0.840728946978947,2.761197865009308,0.16666666666666666
sports,7,control,0.8419938458731562,2.761957824230194,0.125
sports,17,baseline,0.8229326565178492,2.74675153195858,0.14375
sports,17,target,0.8072717369776193,2.761197865009308,0.14375
sports,17,control,0.8416467369776194,2.761957824230194,0.14375
sports,27,baseline,0.7472946064188749,2.74675153195858,0.07708333333333334
sports,27,target,0.7521048198428258,2.761197865009308,0.05625
sports,27,control,0.7745370866154224,2.761957824230194,0.08125
code,7,baseline,0.8006210285815549,2.4171342998743057,0.20833333333333331
code,7,target,0.8119908126293995,2.591681271791458,0.2916666666666667
code,7,control,0.7772963440068703,2.49869304895401,0.15833333333333333
code,17,baseline,0.8489219433592835,2.4171342998743057,0.13333333333333333
code,17,target,0.8616476885634494,2.591681271791458,0.15416666666666667
code,17,control,0.8244559622168515,2.49869304895401,0.13333333333333333
code,27,baseline,0.8476024384112619,2.4171342998743057,0.20416666666666666
code,27,target,0.8797742188367188,2.591681271791458,0.22083333333333333
code,27,control,0.8909668549694125,2.49869304895401,0.22083333333333333
safety,7,baseline,0.8566907302467648,2.513353154063225,0.20833333333333331
safety,7,target,0.8658573969134313,2.5283707678318024,0.1875
safety,7,control,0.840330030726395,2.4983819127082825,0.25
safety,17,baseline,0.8411065672520883,2.513353154063225,0.2708333333333333
safety,17,target,0.8398713893864757,2.5283707678318024,0.2708333333333333
safety,17,control,0.8322524005854215,2.4983819127082825,0.25
safety,27,baseline,0.8672561883393967,2.513353154063225,0.22916666666666666
safety,27,target,0.878125753556788,2.5283707678318024,0.22916666666666666
safety,27,control,0.8672561883393967,2.4983819127082825,0.22916666666666666
uncertainty,7,baseline,0.8544486935730129,3.3414550721645355,0.11249999999999999
uncertainty,7,target,0.834159212365734,3.3668321669101715,0.15416666666666667
uncertainty,7,control,0.8143891697634892,3.3562763035297394,0.1375
uncertainty,17,baseline,0.8426235548161591,3.3414550721645355,0.17916666666666667
uncertainty,17,target,0.83901778558539,3.3668321669101715,0.17916666666666667
uncertainty,17,control,0.8387359950075467,3.3562763035297394,0.17916666666666667
uncertainty,27,baseline,0.8096859209284246,3.3414550721645355,0.14166666666666666
uncertainty,27,target,0.8037770164063267,3.3668321669101715,0.16666666666666669
uncertainty,27,control,0.835843328335832,3.3562763035297394,0.11666666666666667
