category,feature,delta
code,6631,12.501693725585938
code,2152,11.087057113647461
code,2991,10.900369644165039
code,12434,7.572066307067871
code,11773,7.293604850769043
code,59,7.074458122253418
code,15839,5.822368144989014
code,6848,5.710941791534424
neutral,4481,7.365334510803223
neutral,7316,5.701141834259033
neutral,11795,5.59623908996582
neutral,4100,4.879310607910156
neutral,12559,4.334812641143799
neutral,9372,4.270603656768799
neutral,3458,4.014171600341797
neutral,11653,3.94382381439209
safety,14033,5.792712211608887
safety,12935,5.724676132202148
safety,5426,5.004900932312012
safety,12780,3.931894302368164
safety,7324,3.7950327396392822
safety,10810,3.441993474960327
safety,8450,3.4409945011138916
safety,16215,3.437790870666504
sports,16242,17.268939971923828
sports,8684,8.376708984375
sports,11186,6.486981391906738
sports,6348,6.33200740814209
sports,9634,5.762371063232422
sports,15073,5.484963893890381
sports,4445,4.997509479522705
sports,9644,4.671814441680908
uncertainty,4223,8.386497497558594
uncertainty,6631,6.1950836181640625
uncertainty,2684,4.927315711975098
uncertainty,14352,4.028494834899902
uncertainty,12935,3.9242286682128906
uncertainty,9768,3.810089111328125
uncertainty,9909,3.2307825088500977
uncertainty,2983,3.1491992473602295
