category,feature,alpha,mean,ci95_lo,ci95_hi,n
code,6631,0.0,-0.09765625,-1.2111328125,1.53515625,8
code,6631,0.5,0.17578125,-0.2421875,0.63671875,8
code,6631,1.0,0.0,0.0,0.0,8
code,6631,1.5,-0.15625,-0.5705078125,0.28125,8
code,6631,2.0,-0.484375,-1.20322265625,0.23447265624999947,8
safety,14033,0.0,0.0703125,-0.03125,0.21132812499999787,8
safety,14033,0.5,0.015625,-0.03125,0.09375,8
safety,14033,1.0,0.0,0.0,0.0,8
safety,14033,1.5,-0.1171875,-0.25,-0.015625,8
safety,14033,2.0,-0.203125,-0.484375,-0.015625,8
sports,16242,0.0,0.328125,0.0703125,0.7267578124999989,8
sports,16242,0.5,0.1796875,0.046875,0.3828125,8
sports,16242,1.0,0.0,0.0,0.0,8
sports,16242,1.5,-0.265625,-0.5703125,-0.0703125,8
sports,16242,2.0,-0.5078125,-1.0158203125,-0.125,8
uncertainty,4223,0.0,-0.1484375,-0.28125,-0.0234375,8
uncertainty,4223,0.5,-0.0234375,-0.1328125,0.078125,8
uncertainty,4223,1.0,0.0,0.0,0.0,8
uncertainty,4223,1.5,0.0625,0.015625,0.109375,8
uncertainty,4223,2.0,0.0859375,-0.0001953124999999889,0.1796875,8
